,user,item,actual,predicted
75,35544,120,5,4.801107
76,512,822,5,3.9209101
77,6692,708,5,4.3915553
78,1024,101,3,4.142849
79,32880,167,3,3.175971
80,13045,8,5,3.1944764
81,7496,40,3,3.2589972
82,16370,31,5,4.7001786
83,42091,11,5,4.786289
84,9330,82,4,3.9880662
85,6681,50,5,4.57619
86,13268,50,4,4.0745373
87,5775,63,5,3.882817
88,17619,33,3,3.6489153
89,2393,54,4,4.75795
90,17226,148,4,4.021073
91,4707,161,5,4.6701837
92,43371,514,5,4.5968523
93,6134,126,5,4.6336336
94,2393,434,5,3.4247422
95,2132,17,4,3.9129562
96,27218,64,4,4.007599
97,5714,11,5,4.998692
98,41897,10,4,3.9264834
99,40791,103,4,3.96085
100,35185,3,4,4.14013
101,8660,1,4,4.027997
102,1018,86,5,4.8399363
103,34787,6,5,4.5962257
104,25272,181,5,4.8500304
105,29830,3,5,4.3962083
106,30397,11,5,4.7305493
107,1436,75,5,3.8328335
108,3630,69,5,4.73251
109,23078,188,4,4.1559615
110,1369,940,5,4.7900968
111,4389,19,5,4.8531537
112,12899,315,5,4.0875883
113,32561,175,5,4.8588567
114,19981,120,5,4.8647065
115,3050,241,5,4.2594767
116,480,65,4,4.98261
117,3794,90,4,4.0024753
118,21818,27,3,3.1139212
119,33338,158,2,3.3614743
120,17058,315,3,3.5273228
121,7910,2,5,4.580295
122,3407,74,3,4.934887
123,23789,167,5,2.9774213
124,28738,115,4,4.113667
125,2150,41,5,4.683762
126,5753,116,4,4.001106
127,36318,62,5,4.69034
128,42095,836,4,3.092298
129,30792,48,5,4.748267
130,1039,72,5,4.1235027
131,2595,135,5,4.5187063
132,41399,90,4,4.024739
133,15186,56,1,2.0410845
134,14908,206,3,3.3572383
135,36882,100,4,3.9743705
136,25614,62,4,4.0974956
137,39827,68,5,4.769264
138,11239,69,5,4.8347554
139,38336,132,5,4.101036
140,38602,225,1,4.9415007
141,32657,132,5,4.074337
142,12501,26,5,4.795961
143,26716,175,4,4.0294905
144,24694,4,2,2.0384107
145,18957,1,3,3.6705246
146,1675,51,4,4.3796625
147,22671,1,5,4.5828013
148,1027,89,4,4.156666
149,3591,142,2,3.5265918
150,15985,7,5,4.824883
151,4809,253,5,4.548188
152,38207,5,5,4.6630945
153,283,18,4,4.694474
154,3033,904,4,3.7944534
155,18857,17,5,4.8326387
156,2987,270,5,4.605106
157,37329,19,5,4.8413024
158,18052,111,2,2.6806328
159,5568,3,3,4.430407
160,11969,163,4,3.8384123
161,2508,6,2,4.3794575
162,15255,32,3,4.1733017
163,3333,872,5,4.80926
164,3688,95,5,4.86014
165,14010,58,5,4.858715
166,14172,59,5,4.8691483
167,5756,111,4,4.993729
168,3593,181,3,3.752965
169,6681,90,5,4.7387323
170,12797,28,3,3.2589986
171,12887,94,5,4.6495814
172,28922,16,5,4.7817807
173,411,3,1,4.91958
174,34245,8,5,4.5312805
175,4205,144,5,4.837341
176,44233,8,5,4.7233186
177,18930,20,5,4.74254
178,11700,150,4,4.0457935
179,31148,157,5,3.8575075
180,6366,23,5,4.650622
181,12133,39,5,4.6880894
182,939,276,5,4.42843
183,2932,902,5,4.608088
184,26095,762,5,4.8136144
185,15211,70,2,2.3849685
186,36026,254,5,4.86514
187,657,55,1,4.985376
188,13551,31,5,4.665022
189,30629,18,5,4.8163886
190,18104,198,4,4.272667
191,3091,923,4,4.8177476
192,7236,103,3,2.9074855
193,14535,37,5,4.0752096
194,39679,506,4,3.0074728
195,2518,143,2,4.8706627
196,8448,81,5,4.6643667
197,44443,4,4,4.0053864
198,8283,374,4,4.232235
199,15192,90,5,4.4318094
200,20301,16,5,4.7008224
201,20015,210,5,4.626278
202,17347,1017,5,4.0917606
203,2626,198,5,3.9403174
204,20736,171,5,4.7801394
205,43468,2,5,4.4978266
206,3091,318,5,4.8820734
207,3007,93,4,3.3114867
208,42620,194,5,4.0830035
209,10677,33,5,4.6303287
210,2722,225,4,4.078498
211,18881,136,5,4.4281826
212,6581,289,1,2.6731348
213,18441,54,5,3.066487
214,30807,117,5,4.5202665
215,18199,168,3,4.855714
216,36841,35,5,4.808981
217,39346,51,5,4.8296456
218,1446,504,3,3.2648726
219,33620,925,4,4.2810755
220,3317,63,5,4.710459
221,2949,138,5,4.98441
222,25345,45,4,4.0137177
223,26256,143,5,4.553008
224,26268,18,5,4.0677967
225,14858,31,5,4.6855507
226,3120,824,4,3.8489974
227,40086,8,5,4.3474407
228,25612,592,5,3.392362
229,8266,80,5,4.149048
230,480,79,5,4.977988
231,1446,109,3,4.729056
232,40805,19,4,4.0104384
233,3785,914,2,2.9555497
234,41836,28,4,3.9433641
235,538,40,5,4.479022
236,1436,88,3,3.8759494
237,1250,63,5,4.652024
238,1223,940,5,4.7834435
239,43167,110,2,3.115283
240,1726,111,5,3.3206248
241,27395,303,4,3.3713975
242,28996,46,5,4.7593746
243,21598,43,5,4.6702843
244,15629,56,4,4.2512774
245,4906,541,5,4.3999424
246,697,94,4,4.149776
247,10930,17,4,4.038159
248,8297,3,4,4.153968
249,37273,26,4,3.0907817
250,33332,56,5,4.4265504
251,17698,842,2,4.400594
252,34864,117,2,3.698228
253,26662,83,5,4.764276
254,19213,54,5,4.7924924
255,16559,1008,4,4.234069
256,3293,62,2,4.794026
257,42845,36,5,4.548845
258,28294,21,5,4.716342
259,43240,2,5,4.629014
260,31366,51,5,4.6739364
261,36996,132,3,3.059232
262,32288,148,3,3.8202176
263,5529,572,2,3.1967354
264,27300,120,5,4.846636
265,42972,17,4,3.902643
266,2414,22,5,4.282647
267,5025,792,5,3.4886274
268,309,1,4,3.800177
269,16232,138,5,4.283822
270,11132,121,4,4.143003
271,28028,87,5,4.160064
272,23643,12,4,4.4998617
273,6128,9,5,4.671648
274,16553,87,5,4.408229
275,36035,32,4,4.0140667
276,30683,2,5,4.5628495
277,34838,829,5,4.224367
278,23103,60,3,3.3403776
279,32197,11,5,4.771785
280,1665,817,5,4.629624
281,4657,16,3,4.5211463
282,5137,26,5,4.764995
283,28894,59,4,4.2919345
284,39141,1,3,3.5248513
285,2910,36,5,4.9193463
286,2535,112,5,4.7156878
287,35570,120,5,4.8274894
288,1646,572,1,2.7554634
289,570,320,4,3.6289668
290,21980,10,4,4.0253024
291,411,6,5,4.999461
292,4739,19,5,4.9776125
293,8206,167,5,4.1954656
294,12860,45,2,3.4635801
295,16344,812,2,3.4027755
296,16657,254,4,4.3572006
297,5529,95,5,4.526342
298,25530,20,5,4.746484
299,38228,241,1,2.825104
300,1724,200,5,4.6710687
301,25122,219,4,4.7398257
302,3407,146,5,4.9843025
303,40182,153,4,4.2620654
304,4426,64,4,4.156909
305,2949,163,5,4.9848585
306,6079,16,5,4.945597
307,8283,247,5,4.317946
308,7963,62,4,4.0859337
309,6463,99,5,4.8940725
310,36487,11,5,4.686235
311,31669,153,3,3.3324513
312,34561,63,5,4.616051
313,2907,86,5,4.992979
314,879,690,5,3.6181588
315,538,15,5,4.7905064
316,2783,69,5,4.987316
317,9804,167,4,4.0602927
318,12910,11,5,4.754678
319,18489,165,5,4.5173426
320,26058,83,5,4.7884965
321,19731,7,5,4.8250685
322,35632,120,5,4.7927895
323,31971,144,4,4.7593536
324,43520,763,4,4.0196037
325,40417,249,5,3.1520858
326,18431,59,4,4.946732
327,29843,59,5,4.956081
328,38576,19,2,2.028323
329,1585,65,3,3.146298
330,1136,64,3,4.6607747
331,13758,88,5,4.5087166
332,875,100,5,4.8142676
333,12397,26,5,4.711513
334,27198,100,4,4.474633
335,23887,228,2,2.7473774
336,17264,131,5,4.8994594
337,3794,48,5,4.2901115
338,24585,958,5,4.276029
339,14136,981,5,4.61402
340,39525,65,5,4.99035
341,5583,110,2,2.7759676
342,40926,32,5,4.6738863
343,240,73,2,2.3295171
344,20690,104,5,4.349037
345,14186,113,3,4.8444004
346,3399,41,5,4.708187
347,23776,8,5,4.686272
348,41116,75,3,3.437482
349,10319,41,4,4.626638
350,11514,210,3,3.5346165
351,413,160,5,4.1994786
352,25350,183,4,4.4827933
353,22497,6,5,4.0218396
354,498,118,5,4.878709
355,29662,46,5,4.680743
356,15463,3,5,4.4429398
357,33569,26,4,4.0233
358,4019,117,5,4.7200603
359,5933,242,5,4.6594267
360,42843,113,3,3.3978305
361,23995,41,4,4.7079053
362,597,85,5,4.9661007
363,4379,19,5,4.981491
364,40377,123,4,4.0847664
365,34674,96,5,4.8443494
366,38765,73,5,4.416656
367,40060,59,5,4.8291245
368,29654,87,3,3.2426383
369,8128,125,5,4.338741
370,13960,149,3,3.8391197
371,2518,52,4,4.9579535
372,21542,4,5,4.728576
373,800,103,3,4.324934
374,9195,18,3,4.324103
375,16320,51,5,4.837475
376,10502,84,5,4.551523
377,6368,178,5,4.786029
378,29402,36,5,4.611978
379,22534,59,4,4.4565945
380,7496,31,4,3.6225858
381,16317,263,4,3.4892635
382,14588,16,4,4.5880632
383,4385,94,4,4.006231
384,15042,62,5,4.558223
385,13640,18,3,4.3961782
386,16025,140,5,4.757468
387,8325,58,3,4.1083927
388,35373,36,5,4.881284
389,10444,79,4,4.0362606
390,5756,204,5,4.981597
391,35613,122,5,4.3820033
392,36835,19,5,4.825097
393,22769,72,5,4.0292745
394,22641,788,1,2.6984177
395,27171,188,4,4.434281
396,10830,95,5,4.980558
397,42471,14,5,4.8391314
398,21176,3,2,2.266742
399,3566,180,5,4.5318966
400,17088,83,5,4.743131
401,602,36,4,4.0505724
402,17579,41,3,4.390692
403,41091,144,5,4.9520617
404,3258,151,4,4.273918
405,30638,45,4,4.0385585
406,3909,36,4,4.5116477
407,23270,19,4,4.001206
408,20068,41,5,4.111653
409,25331,986,5,4.490523
410,16037,3,5,4.3017135
411,34092,113,5,4.8279514
412,24347,48,5,4.7738285
413,42781,115,5,4.8533573
414,15911,56,5,4.533743
415,7918,14,5,4.8109775
416,3415,192,5,4.4287543
417,22828,863,5,4.562756
418,28274,37,5,4.4148073
419,37389,5,5,4.674561
420,15650,297,5,4.232805
421,35133,57,4,3.1015973
422,44233,47,5,4.6395354
423,14755,11,2,2.9490347
424,16806,20,4,4.097676
425,23970,1017,5,3.2530975
426,10335,71,5,4.465556
427,5096,318,5,4.801298
428,25426,855,5,4.7675223
429,15362,766,4,3.9801478
430,3333,104,2,4.968142
431,41368,79,2,2.8164983
432,13639,54,5,4.730443
433,6761,67,5,4.60121
434,22334,21,4,4.026085
435,9234,712,5,4.3235655
436,17275,74,5,4.2375703
437,41308,59,5,3.866112
438,14305,879,1,3.8947263
439,1732,132,4,3.9053845
440,2988,48,5,4.9759097
441,21885,924,1,4.1881237
442,2228,17,5,4.299264
443,14708,230,5,4.4656997
444,5490,18,1,1.7427237
445,12280,4,5,4.8041563
446,11978,115,5,4.6687565
447,43703,92,3,3.124174
448,16922,8,4,3.9496396
449,4387,79,5,4.7654357
450,6500,37,2,4.128078
451,26492,12,5,4.2767844
452,11722,4,2,2.0538716
453,6995,165,3,3.2825184
454,18144,17,3,3.0393019
455,29695,94,4,4.977625
456,35324,123,5,4.6946692
457,29483,34,5,4.4316096
458,20927,112,5,4.647104
459,39243,43,5,4.671357
460,1679,122,3,4.0351553
461,36618,106,4,3.8163466
462,17448,62,5,4.561205
463,18294,60,5,4.169046
464,3593,100,5,4.4653654
465,9195,26,5,4.3457665
466,30686,245,4,4.0725746
467,41836,121,4,4.099316
468,43104,59,5,4.731791
469,13648,135,4,4.326819
470,34733,5,5,4.631763
471,3586,99,5,4.4621944
472,39249,20,5,4.9009047
473,41350,64,5,4.6482735
474,15281,4,5,4.82859
475,43471,157,5,4.643793
476,16523,217,5,4.611903
477,37511,45,4,3.6207023
478,33215,40,4,3.9849613
479,16008,766,4,4.54863
480,2771,37,5,4.7345133
481,22916,29,5,4.679542
482,23441,139,5,4.691087
483,42061,194,5,4.5343785
484,4584,199,5,4.955884
485,13127,90,5,4.6160393
486,348,22,1,3.7292633
487,6368,19,5,4.980308
488,15233,26,4,3.2637973
489,32587,99,3,3.2025168
490,366,62,5,4.680584
491,17395,16,4,4.010797
492,3749,21,5,4.9975805
493,14133,73,3,3.6836078
494,1730,146,5,4.133581
495,19827,10,5,4.8339834
496,38692,132,4,4.3842907
497,450,56,3,4.911112
498,3518,123,5,4.7969413
499,11154,14,5,4.868412
500,1250,37,5,4.7186155
501,32580,506,5,3.8124764
502,3739,0,4,3.8403502
503,17114,113,5,4.7671814
504,42838,123,1,1.759751
505,32545,36,3,3.0409143
506,3735,147,5,4.998566
507,39785,11,4,3.7631407
508,9088,100,5,4.8051157
509,2906,43,4,4.428825
510,23849,18,5,4.721879
511,2949,92,5,4.99378
512,23035,10,4,3.7176404
513,13721,26,3,4.9825945
514,17906,113,5,4.8317094
515,5093,3,4,4.184517
516,34338,100,4,4.0413513
517,29631,54,2,2.9018023
518,42164,31,4,4.0398903
519,6542,924,5,4.564014
520,21153,36,5,4.635083
521,8141,105,3,4.0573077
522,2508,124,5,4.1092606
523,25722,340,4,3.1558914
524,35853,4,5,4.8559704
525,20386,17,5,4.5516057
526,4482,126,5,4.993444
527,4932,62,5,4.2045064
528,37227,218,4,3.9031565
529,27701,93,4,3.8316088
530,18173,859,5,3.44729
531,12515,179,5,4.1031313
532,37522,5,5,4.415873
533,17170,56,4,4.0523777
534,19478,244,5,4.69147
535,6615,212,1,2.399629
536,41749,131,5,4.6734667
537,1520,35,5,4.8774705
538,42178,100,5,4.6784163
539,5224,26,4,4.5005803
540,2821,280,5,4.9220624
541,4756,92,5,4.4715815
542,538,8,4,4.549552
543,16254,7,5,4.781952
544,9149,3,3,3.279197
545,7637,11,5,4.908504
546,14641,88,5,4.761199
547,2852,75,3,4.207245
548,30241,10,4,4.67642
549,26820,73,5,4.3577976
550,13455,16,5,4.7780447
551,2611,115,5,4.6409564
552,25188,99,5,4.7845836
553,27105,68,5,4.8069887
554,3084,882,3,4.3158946
555,19346,851,3,3.2061796
556,19914,156,4,3.5487885
557,23515,143,4,4.818952
558,23942,7,2,2.5698662
559,1751,810,5,4.461145
560,27503,133,5,4.5896997
561,701,51,4,3.9933217
562,30676,64,5,4.3976107
563,11326,905,5,4.1108637
564,33555,11,5,4.6801305
565,29387,12,5,4.5481896
566,33798,277,5,4.5358577
567,13027,125,4,4.1764636
568,11545,11,4,4.925701
569,30119,142,4,4.1068025
570,5726,46,4,4.4515305
571,24487,10,2,2.4150486
572,11953,120,5,4.899758
573,1432,109,5,4.5094757
574,33351,127,4,3.5039546
575,17027,166,5,4.334668
576,21567,9,5,4.7288094
577,2831,137,5,3.999256
578,24262,12,4,4.0812373
579,3333,59,2,4.999623
580,358,254,5,4.6664543
581,22838,6,5,4.628766
582,6707,250,5,3.8849702
583,2759,83,5,4.701214
584,2981,95,5,4.7509727
585,15702,275,4,4.163075
586,43516,19,5,4.840422
587,1352,115,4,4.35586
588,23790,136,4,4.7380633
589,34674,152,5,4.791959
590,35427,157,3,3.7144349
591,19657,9,3,3.1792135
592,28526,17,5,4.7750382
593,15001,12,4,4.0450563
594,8754,192,5,4.869966
595,14895,52,5,4.90799
596,6311,122,5,4.5115166
597,36199,8,5,4.6876807
598,2296,386,5,4.405103
599,24037,286,4,4.388545
600,8887,58,5,4.874777
601,381,299,5,4.503121
602,15662,55,5,4.912263
603,34002,155,5,3.6928363
604,42612,990,4,3.7014115
605,44331,94,5,4.6638336
606,34828,79,5,4.8158712
607,2551,6,2,4.960627
608,1084,639,5,4.4073267
609,1732,929,2,3.5075343
610,13282,113,5,4.8063173
611,7190,16,5,4.7713413
612,32747,19,5,4.579722
613,26354,791,1,3.6066546
614,11315,6,5,4.7559886
615,35700,800,4,3.5751905
616,39361,26,5,4.7173634
617,31022,31,5,4.54925
618,12200,112,4,4.9263377
619,1088,188,5,4.5535893
620,12942,6,5,4.569933
621,10644,88,4,3.7062857
622,1874,245,5,3.602859
623,35378,41,5,4.8827596
624,29054,149,4,4.1144137
625,37543,77,5,4.665821
626,37110,56,4,3.9585218
627,7286,19,5,4.851507
628,2886,8,5,4.3408484
629,19203,7,5,4.818924
630,24242,19,4,4.018554
631,26189,222,5,4.090515
632,23919,882,5,4.33006
633,1533,46,5,4.6898694
634,41951,47,4,3.3217204
635,359,15,3,3.1454191
636,3664,178,5,4.9250307
637,18489,243,5,4.3730726
638,28065,162,3,3.9892874
639,25026,67,5,4.5112076
640,16883,19,4,4.0023603
641,611,37,5,4.822733
642,5568,224,3,3.9532259
643,11799,1,5,4.2919936
644,657,152,5,4.9905005
645,1518,20,5,4.6609917
646,2029,694,5,4.0840464
647,15138,7,5,4.8309264
648,35834,26,5,4.8136883
649,11245,64,4,4.1171346
650,24184,53,5,4.7624483
651,30501,64,2,3.5688221
652,3327,374,1,4.298841
653,44484,41,5,4.7610097
654,15525,60,5,4.671605
655,32091,96,3,3.2917955
656,9807,118,5,4.518255
657,35250,88,3,3.0084183
658,42790,2,3,3.1210895
659,18483,109,5,4.5014186
660,29571,188,5,4.7631435
661,27515,62,5,4.4336567
662,41486,116,5,4.4772453
663,25456,96,5,3.9518235
664,383,26,5,4.754508
665,30257,135,5,4.533637
666,15803,45,4,3.9872174
667,17347,126,3,4.992824
668,5894,33,4,4.9794235
669,660,68,5,4.8871584
670,24310,105,2,3.1412902
671,22898,90,4,4.0307837
672,17697,74,5,4.6545286
673,1338,930,3,3.2350233
674,29053,169,5,4.5541964
675,4998,106,5,4.7789
676,32993,21,5,4.8710213
677,44264,157,5,4.7645397
678,36386,213,5,4.506611
679,6663,528,4,4.709354
680,1944,60,2,3.6264343
681,2792,137,5,4.111774
682,5419,100,3,4.976478
683,11559,31,5,4.687767
684,41514,36,2,2.1407673
685,3010,429,4,3.5355365
686,16272,10,5,4.8293843
687,3479,21,5,4.9066553
688,34215,47,5,4.6077046
689,23349,143,3,3.2244859
690,39626,40,4,4.436019
691,23679,34,3,4.1473002
692,2473,103,4,4.1295805
693,37026,9,5,4.820731
694,38780,11,4,4.001702
695,32132,120,5,4.7745986
696,33701,189,4,3.7443695
697,411,301,5,4.9238873
698,10585,7,4,4.0180564
699,427,113,5,4.9223704
700,8314,239,5,4.063124
701,4107,300,5,3.917584
702,16141,35,4,4.0327835
703,2032,23,5,4.5705028
704,7766,120,5,4.8307543
705,4045,140,5,4.5684733
706,41913,45,4,4.23123
707,23966,483,5,3.6824396
708,10790,69,5,4.7774324
709,4998,9,5,4.9514275
710,7773,88,5,4.509672
711,4319,62,5,4.446155
712,3321,20,4,3.715863
713,2345,147,4,4.6375923
714,351,16,5,4.9564734
715,1958,42,5,3.4555624
716,29256,39,5,4.6066804
717,20438,19,5,4.840717
718,22846,17,5,4.792924
719,20859,11,5,4.7622533
720,36547,332,1,2.6462464
721,25634,156,5,4.088088
722,32509,10,4,3.862758
723,36567,34,4,4.142188
724,5942,932,4,3.7734723
725,41608,3,4,4.2229095
726,12654,4,5,3.594941
727,21221,70,2,3.2708693
728,25933,20,3,3.0179348
729,6656,17,3,4.4282026
730,38650,20,5,4.7642646
731,4475,120,5,4.737565
732,21824,88,4,4.833495
733,5353,84,5,4.998933
734,38586,135,5,4.742631
735,30281,708,4,3.750106
736,2036,282,3,4.8508925
737,15392,39,5,4.7020874
738,474,35,3,4.9106045
739,8681,2,3,3.1551404
740,24456,584,4,4.429231
741,10864,131,4,4.024474
742,36415,760,5,4.3274136
743,36335,100,4,3.8874748
744,1984,1,4,4.430924
745,7957,148,5,4.4721675
746,30283,495,4,4.0755954
747,26561,16,5,4.9051747
748,3430,25,4,3.7558217
749,42290,886,4,4.125422
750,19549,62,3,3.0668201
751,3333,970,4,3.898163
752,6325,103,5,4.441283
753,43662,964,5,4.3099995
754,7775,3,5,4.433628
755,5116,131,5,4.827104
756,23742,48,4,4.6821995
757,23228,51,3,3.0036402
758,33601,94,2,4.529068
759,15053,15,5,4.389062
760,346,133,5,4.685417
761,4386,62,5,4.6444993
762,42071,260,1,3.0444713
763,16656,181,2,2.4201157
764,11687,63,4,4.112073
765,30177,41,5,4.7008414
766,10646,3,4,4.191767
767,1244,51,4,4.935499
768,1711,263,5,2.7339764
769,32638,94,5,4.687546
770,6184,43,5,4.6402397
771,28134,657,5,4.7643695
772,370,56,3,4.6440115
773,15507,167,5,4.480281
774,14217,12,4,4.229987
775,42003,146,5,4.6889367
776,1432,478,5,4.337546
777,41728,304,5,3.5156515
778,2855,2,2,3.6839654
779,43074,972,5,4.335223
780,1224,120,5,4.7848945
781,43053,976,5,3.1111512
782,5614,15,4,4.07051
783,17873,51,5,4.467548
784,26408,19,5,4.863336
785,11357,237,5,4.4183965
786,31594,176,5,4.3383937
787,15415,1,5,4.2334332
788,36986,46,4,4.9700985
789,22688,229,2,2.69073
790,31878,40,5,4.408325
791,20181,130,4,3.8450994
792,146,113,4,4.0696473
793,9296,70,4,3.2087672
794,34279,1016,2,3.187163
795,26681,134,4,4.0656285
796,38802,1007,2,3.4436965
797,22916,11,5,4.9093366
798,7089,79,2,2.9273307
799,34224,75,5,4.7356825
800,16401,142,4,3.5147896
801,1175,31,5,4.9102187
802,4121,309,5,3.9590502
803,17347,1012,5,4.7280145
804,7042,1,4,4.1283545
805,31577,11,4,4.000581
806,1827,71,5,4.7984424
807,23057,889,3,4.9610825
808,2040,131,4,4.0133934
809,1603,156,5,3.3861399
810,21775,52,5,4.613935
811,32616,53,4,3.701978
812,27069,93,3,3.533757
813,2781,239,4,3.1927774
814,24902,313,5,4.9634523
815,42057,9,5,4.7347264
816,27726,116,2,2.28301
817,17454,120,5,4.780861
818,23682,4,5,4.6869326
819,25215,26,5,4.750126
820,14518,688,2,3.6442184
821,12711,41,5,4.6761856
822,11828,2,4,4.0949683
823,19904,56,3,3.0714605
824,8754,326,5,4.69063
825,5022,192,5,4.283122
826,697,947,5,2.892846
827,2949,313,4,4.978036
828,12454,157,5,4.2094045
829,9262,161,4,3.319434
830,5668,25,5,4.4511666
831,1223,62,5,4.755235
832,4597,158,5,4.7963243
833,6656,94,5,4.5486646
834,5386,85,4,3.8195415
835,6700,78,5,4.7988186
836,25162,132,5,4.126441
837,3308,21,4,4.866327
838,17698,852,4,4.6446233
839,16317,167,4,4.939087
840,5096,2,4,4.6655564
841,341,152,3,4.792715
842,1690,75,5,4.3791966
843,20109,20,5,4.887724
844,5949,678,5,3.4299812
845,541,28,3,4.1383944
846,20463,3,3,3.4162736
847,28121,899,1,3.1968484
848,39489,35,5,4.7299376
849,5515,266,5,2.9960356
850,6068,37,1,3.8754497
851,11670,51,5,4.682984
852,3293,274,4,3.9395123
853,32055,150,5,4.5412602
854,5796,913,5,3.5811906
855,480,106,5,4.7583437
856,12200,229,5,4.5872555
857,27453,19,5,4.8351617
858,11305,100,5,4.807486
859,29456,71,4,4.9301047
860,11251,16,3,3.041329
861,38360,170,4,4.3307886
862,22036,19,5,4.866584
863,1280,328,5,4.5556407
864,16485,149,3,3.459132
865,619,116,4,4.6563277
866,2756,52,4,4.4965487
867,25272,59,4,4.9996367
868,15150,103,5,3.8496566
869,42198,90,5,4.4668097
870,26018,122,3,3.144584
871,1431,57,4,3.1983476
872,4525,147,4,4.8518767
873,6587,214,5,4.0799084
874,40958,84,4,4.041495
875,34486,110,1,3.1821156
876,29526,92,4,3.4058876
877,39096,100,5,4.878753
878,17734,46,5,3.9847107
879,40573,91,1,2.343382
880,33395,95,5,4.1126103
881,29653,171,5,4.7032504
882,953,68,4,4.384659
883,20609,245,1,3.9399078
884,21824,928,5,3.9331963
885,34742,39,4,4.030288
886,34287,60,5,3.713903
887,6656,5,2,4.370077
888,22292,52,4,4.485673
889,35305,83,5,4.492362
890,34224,35,5,4.8962393
891,18296,5,4,3.6244411
892,306,40,5,3.835446
893,16528,124,5,4.760605
894,28935,62,2,2.49548
895,15275,88,5,4.7918506
896,21445,6,2,2.0748992
897,5058,4,5,4.762859
898,23012,53,5,4.2786846
899,42894,178,4,4.034538
900,3584,315,4,4.8788757
901,41448,541,5,3.9187531
902,341,112,5,4.775889
903,11406,41,5,4.6268406
904,12040,36,4,4.047736
905,812,120,5,4.5433087
906,44423,39,4,4.033147
907,11430,69,5,4.7682943
908,8385,2,5,4.1211596
909,3209,139,3,3.4952726
910,450,120,4,4.997927
911,10809,41,4,3.4401085
912,26733,6,5,4.878597
913,3091,75,2,4.931897
914,38327,83,5,4.93797
915,1966,47,3,4.991111
916,3518,162,4,4.5673294
917,18514,518,5,4.561128
918,35359,5,4,4.342034
919,5628,790,5,3.7347293
920,1260,117,4,4.7196603
921,2461,28,5,4.052344
922,20920,41,1,2.9932542
923,17375,19,3,3.0189087
924,3785,117,4,4.878467
925,32110,247,5,3.8842711
926,22473,45,5,4.3487096
927,37272,99,5,4.7241945
928,2465,4,5,4.458069
929,14584,15,5,4.821084
930,657,889,4,4.8945956
931,34071,172,5,4.607196
932,14129,290,5,4.702407
933,5353,6,4,4.999347
934,42447,133,5,4.705659
935,1958,854,5,3.59045
936,10185,157,5,4.9514127
937,7894,94,4,4.028552
938,37347,1016,5,3.7465456
939,34491,138,4,4.0351324
940,34273,156,4,4.0804424
941,3303,120,5,4.994369
942,42695,16,4,4.946682
943,26989,53,3,4.5205245
944,31903,326,5,4.2699237
945,36596,63,3,3.904952
946,31423,100,3,3.0608966
947,29683,117,5,4.5305977
948,29275,12,5,4.006424
949,28060,46,5,4.6643662
950,5857,213,5,4.5227475
951,44061,327,1,2.5441103
952,6257,92,4,4.0194716
953,20538,16,3,2.6684918
954,11461,43,5,4.7217073
955,35959,115,4,4.5882545
956,5554,321,5,4.1207657
957,37385,77,3,3.2813334
958,6153,762,4,4.203781
959,43221,4,4,4.0630274
